Obs,Treatment,Replicates,Time,Y
1,a,201,1,2.68
2,a,202,1,3.95
3,a,203,1,2.28
4,a,204,1,4.08
5,a,205,1,4.09
6,a,206,1,3.79
7,a,207,1,3.82
8,a,208,1,3.67
9,a,209,1,4.12
10,a,210,1,2.77
11,a,211,1,3.77
12,a,212,1,2
13,a,214,1,3.36
14,a,215,1,4.31
15,a,216,1,3.88
16,a,217,1,1.97
17,a,218,1,2.91
18,a,219,1,3.59
19,a,220,1,2.88
20,a,221,1,4.04
21,a,222,1,3.38
22,a,223,1,4.49
23,a,224,1,4.17
24,a,232,1,3.73
25,c,201,1,3.41
26,c,202,1,3.92
27,c,203,1,2.52
28,c,204,1,4.43
29,c,205,1,4.55
30,c,206,1,4.25
31,c,207,1,3
32,c,208,1,4.06
33,c,209,1,4.37
34,c,210,1,2.83
35,c,211,1,4.06
36,c,212,1,2.82
37,c,214,1,3.18
38,c,215,1,4.39
39,c,216,1,3.9
40,c,217,1,2.31
41,c,218,1,3.19
42,c,219,1,3.54
43,c,220,1,2.99
44,c,221,1,4.37
45,c,222,1,3.26
46,c,223,1,4.72
47,c,224,1,4.27
48,c,232,1,4.1
49,p,201,1,2.36
50,p,202,1,3.03
51,p,203,1,1.99
52,p,204,1,3.24
53,p,205,1,3.35
54,p,206,1,3.04
55,p,207,1,2.46
56,p,208,1,2.85
57,p,209,1,3.45
58,p,210,1,2.56
59,p,211,1,2.19
60,p,212,1,2.14
61,p,214,1,2.57
62,p,215,1,2.9
63,p,216,1,3.02
64,p,217,1,1.35
65,p,218,1,2.61
66,p,219,1,2.91
67,p,220,1,2.78
68,p,221,1,3.81
69,p,222,1,3.06
70,p,223,1,2.87
71,p,224,1,3.98
72,p,232,1,3.04
1,a,201,2,2.76
2,a,202,2,3.65
3,a,203,2,2.34
4,a,204,2,3.87
5,a,205,2,3.9
6,a,206,2,3.97
7,a,207,2,3.44
8,a,208,2,3.47
9,a,209,2,3.71
10,a,210,2,2.77
11,a,211,2,3.73
12,a,212,2,1.91
13,a,214,2,3.42
14,a,215,2,4.02
15,a,216,2,3.92
16,a,217,2,1.9
17,a,218,2,2.99
18,a,219,2,3.54
19,a,220,2,3.06
20,a,221,2,3.94
21,a,222,2,3.42
22,a,223,2,4.35
23,a,224,2,4.3
24,a,232,2,3.51
25,c,201,2,3.48
26,c,202,2,4.02
27,c,203,2,2.44
28,c,204,2,4.3
29,c,205,2,4.58
30,c,206,2,4.37
31,c,207,2,2.8
32,c,208,2,3.98
33,c,209,2,4.06
34,c,210,2,2.79
35,c,211,2,3.68
36,c,212,2,1.9
37,c,214,2,3.13
38,c,215,2,4.63
39,c,216,2,3.98
40,c,217,2,2.19
41,c,218,2,3.18
42,c,219,2,3.45
43,c,220,2,3.02
44,c,221,2,4.2
45,c,222,2,3.39
46,c,223,2,4.97
47,c,224,2,4.5
48,c,232,2,3.85
49,p,201,2,2.36
50,p,202,2,3.02
51,p,203,2,1.62
52,p,204,2,3.37
53,p,205,2,3.92
54,p,206,2,3.28
55,p,207,2,3.22
56,p,208,2,2.81
57,p,209,2,3.48
58,p,210,2,2.52
59,p,211,2,2.44
60,p,212,2,1.92
61,p,214,2,3.08
62,p,215,2,2.8
63,p,216,2,3.21
64,p,217,2,1.15
65,p,218,2,2.59
66,p,219,2,2.89
67,p,220,2,2.89
68,p,221,2,3.77
69,p,222,2,2.95
70,p,223,2,3.08
71,p,224,2,3.77
72,p,232,2,3
1,a,201,3,2.5
2,a,202,3,2.93
3,a,203,3,2.29
4,a,204,3,3.79
5,a,205,3,3.54
6,a,206,3,3.78
7,a,207,3,3.46
8,a,208,3,3.19
9,a,209,3,3.57
10,a,210,3,2.75
11,a,211,3,3.67
12,a,212,3,1.88
13,a,214,3,3.28
14,a,215,3,3.38
15,a,216,3,3.71
16,a,217,3,1.45
17,a,218,3,2.87
18,a,219,3,3.17
19,a,220,3,2.75
20,a,221,3,3.84
21,a,222,3,3.28
22,a,223,3,4.38
23,a,224,3,4.16
24,a,232,3,3.16
25,c,201,3,3.41
26,c,202,3,4.04
27,c,203,3,2.27
28,c,204,3,4.08
29,c,205,3,4.44
30,c,206,3,4.1
31,c,207,3,2.59
32,c,208,3,4.06
33,c,209,3,3.68
34,c,210,3,2.82
35,c,211,3,3.59
36,c,212,3,2.57
37,c,214,3,3.11
38,c,215,3,4.19
39,c,216,3,4.09
40,c,217,3,2.21
41,c,218,3,3.15
42,c,219,3,3.25
43,c,220,3,3.02
44,c,221,3,4.17
45,c,222,3,3.27
46,c,223,3,4.99
47,c,224,3,4.34
48,c,232,3,4.27
49,p,201,3,2.28
50,p,202,3,3.19
51,p,203,3,1.65
52,p,204,3,3.54
53,p,205,3,3.69
54,p,206,3,3.17
55,p,207,3,2.65
56,p,208,3,2.96
57,p,209,3,3.8
58,p,210,3,2.67
59,p,211,3,2.41
60,p,212,3,1.75
61,p,214,3,2.62
62,p,215,3,3.17
63,p,216,3,3.17
64,p,217,3,1.24
65,p,218,3,2.77
66,p,219,3,3.01
67,p,220,3,2.77
68,p,221,3,3.78
69,p,222,3,3.07
70,p,223,3,3.02
71,p,224,3,3.65
72,p,232,3,3.24
1,a,201,4,2.3
2,a,202,4,2.53
3,a,203,4,2.43
4,a,204,4,3.3
5,a,205,4,3.35
6,a,206,4,3.69
7,a,207,4,3.02
8,a,208,4,2.19
9,a,209,4,3.49
10,a,210,4,2.75
11,a,211,4,3.56
12,a,212,4,2.09
13,a,214,4,3.3
14,a,215,4,3.31
15,a,216,4,3.59
16,a,217,4,1.45
17,a,218,4,2.88
18,a,219,4,2.92
19,a,220,4,2.71
20,a,221,4,3.99
21,a,222,4,2.94
22,a,223,4,4.36
23,a,224,4,4.07
24,a,232,4,3.26
25,c,201,4,3.49
26,c,202,4,3.64
27,c,203,4,2.23
28,c,204,4,4.01
29,c,205,4,4.04
30,c,206,4,4.2
31,c,207,4,2.42
32,c,208,4,3.93
33,c,209,4,3.64
34,c,210,4,2.79
35,c,211,4,3.27
36,c,212,4,2.3
37,c,214,4,2.97
38,c,215,4,4
39,c,216,4,4.03
40,c,217,4,2.09
41,c,218,4,3.14
42,c,219,4,3.01
43,c,220,4,2.94
44,c,221,4,4.19
45,c,222,4,3.2
46,c,223,4,4.96
47,c,224,4,4
48,c,232,4,4.01
49,p,201,4,2.35
50,p,202,4,2.98
51,p,203,4,1.68
52,p,204,4,3.31
53,p,205,4,3.97
54,p,206,4,2.99
55,p,207,4,3.02
56,p,208,4,2.69
57,p,209,4,3.6
58,p,210,4,2.6
59,p,211,4,2.55
60,p,212,4,1.58
61,p,214,4,2.91
62,p,215,4,2.39
63,p,216,4,3.13
64,p,217,4,1.32
65,p,218,4,2.73
66,p,219,4,2.74
67,p,220,4,2.77
68,p,221,4,3.9
69,p,222,4,3.1
70,p,223,4,3.14
71,p,224,4,3.81
72,p,232,4,3.37
1,a,201,5,2.14
2,a,202,5,3.04
3,a,203,5,2.06
4,a,204,5,3.8
5,a,205,5,3.15
6,a,206,5,3.31
7,a,207,5,2.98
8,a,208,5,2.85
9,a,209,5,3.64
10,a,210,5,2.71
11,a,211,5,3.59
12,a,212,5,2.08
13,a,214,5,3.31
14,a,215,5,3.46
15,a,216,5,3.57
16,a,217,5,1.24
17,a,218,5,2.84
18,a,219,5,3.48
19,a,220,5,2.83
20,a,221,5,3.9
21,a,222,5,2.96
22,a,223,5,3.77
23,a,224,5,3.87
24,a,232,5,3.07
25,c,201,5,3.33
26,c,202,5,3.29
27,c,203,5,2.01
28,c,204,5,3.62
29,c,205,5,4.33
30,c,206,5,3.84
31,c,207,5,1.61
32,c,208,5,3.61
33,c,209,5,3.17
34,c,210,5,2.8
35,c,211,5,2.6
36,c,212,5,1.67
37,c,214,5,3.06
38,c,215,5,4.01
39,c,216,5,4.07
40,c,217,5,1.75
41,c,218,5,3.08
42,c,219,5,3.07
43,c,220,5,2.69
44,c,221,5,4.07
45,c,222,5,3.32
46,c,223,5,4.95
47,c,224,5,4.11
48,c,232,5,3.78
49,p,201,5,2.31
50,p,202,5,3.01
51,p,203,5,1.65
52,p,204,5,2.81
53,p,205,5,3.94
54,p,206,5,3.31
55,p,207,5,2.25
56,p,208,5,2.18
57,p,209,5,2.83
58,p,210,5,2.68
59,p,211,5,2.93
60,p,212,5,1.51
61,p,214,5,2.71
62,p,215,5,3.01
63,p,216,5,3.38
64,p,217,5,0.95
65,p,218,5,2.7
66,p,219,5,2.71
67,p,220,5,2.69
68,p,221,5,3.8
69,p,222,5,2.67
70,p,223,5,3.67
71,p,224,5,3.77
72,p,232,5,2.69
1,a,201,6,2.4
2,a,202,6,3.37
3,a,203,6,2.18
4,a,204,6,3.24
5,a,205,6,3.23
6,a,206,6,2.83
7,a,207,6,3.1
8,a,208,6,2.68
9,a,209,6,3.38
10,a,210,6,2.75
11,a,211,6,3.35
12,a,212,6,1.98
13,a,214,6,2.99
14,a,215,6,3.49
15,a,216,6,3.48
16,a,217,6,1.24
17,a,218,6,2.67
18,a,219,6,3.05
19,a,220,6,2.58
20,a,221,6,3.89
21,a,222,6,3.12
22,a,223,6,4.23
23,a,224,6,3.87
24,a,232,6,2.77
25,c,201,6,3.2
26,c,202,6,3.1
27,c,203,6,2.26
28,c,204,6,3.23
29,c,205,6,3.87
30,c,206,6,3.43
31,c,207,6,1.83
32,c,208,6,2.91
33,c,209,6,3.37
34,c,210,6,2.76
35,c,211,6,2.72
36,c,212,6,1.9
37,c,214,6,3.27
38,c,215,6,3.66
39,c,216,6,3.56
40,c,217,6,1.72
41,c,218,6,2.96
42,c,219,6,2.65
43,c,220,6,2.66
44,c,221,6,3.86
45,c,222,6,3.09
46,c,223,6,4.82
47,c,224,6,3.93
48,c,232,6,3.14
49,p,201,6,2.62
50,p,202,6,2.75
51,p,203,6,1.85
52,p,204,6,3.58
53,p,205,6,3.63
54,p,206,6,3.21
55,p,207,6,1.5
56,p,208,6,1.91
57,p,209,6,3.17
58,p,210,6,2.64
59,p,211,6,3.08
60,p,212,6,1.94
61,p,214,6,2.39
62,p,215,6,3.22
63,p,216,6,3.25
64,p,217,6,1.24
65,p,218,6,2.72
66,p,219,6,2.86
67,p,220,6,2.65
68,p,221,6,3.78
69,p,222,6,2.68
70,p,223,6,3.84
71,p,224,6,3.89
72,p,232,6,2.89
1,a,201,7,2.33
2,a,202,7,3.14
3,a,203,7,2.28
4,a,204,7,2.98
5,a,205,7,3.46
6,a,206,7,2.72
7,a,207,7,2.79
8,a,208,7,2.6
9,a,209,7,2.28
10,a,210,7,2.52
11,a,211,7,3.32
12,a,212,7,1.7
13,a,214,7,3.01
14,a,215,7,3.38
15,a,216,7,3.42
16,a,217,7,1.17
17,a,218,7,2.69
18,a,219,7,3.27
19,a,220,7,2.68
20,a,221,7,3.89
21,a,222,7,2.98
22,a,223,7,3.83
23,a,224,7,3.85
24,a,232,7,2.92
25,c,201,7,3.07
26,c,202,7,2.7
27,c,203,7,2.34
28,c,204,7,2.46
29,c,205,7,3.75
30,c,206,7,3.79
31,c,207,7,1.21
32,c,208,7,2.07
33,c,209,7,3.2
34,c,210,7,2.64
35,c,211,7,2.22
36,c,212,7,2.07
37,c,214,7,3.24
38,c,215,7,3.47
39,c,216,7,3.83
40,c,217,7,1.8
41,c,218,7,2.97
42,c,219,7,2.47
43,c,220,7,2.68
44,c,221,7,3.89
45,c,222,7,3.25
46,c,223,7,4.56
47,c,224,7,3.68
48,c,232,7,3.94
49,p,201,7,2.12
50,p,202,7,2.7
51,p,203,7,1.96
52,p,204,7,3.76
53,p,205,7,2.92
54,p,206,7,2.98
55,p,207,7,2.37
56,p,208,7,2.21
57,p,209,7,3.22
58,p,210,7,2.65
59,p,211,7,3.11
60,p,212,7,1.84
61,p,214,7,2.42
62,p,215,7,2.75
63,p,216,7,3.29
64,p,217,7,1.04
65,p,218,7,2.71
66,p,219,7,2.95
67,p,220,7,2.84
68,p,221,7,3.7
69,p,222,7,2.94
70,p,223,7,3.55
71,p,224,7,3.63
72,p,232,7,2.89
1,a,201,8,2.2
2,a,202,8,2.62
3,a,203,8,2.29
4,a,204,8,2.91
5,a,205,8,3.27
6,a,206,8,3
7,a,207,8,2.88
8,a,208,8,2.73
9,a,209,8,3.72
10,a,210,8,2.6
11,a,211,8,3.18
12,a,212,8,1.4
13,a,214,8,3.08
14,a,215,8,3.35
15,a,216,8,3.63
16,a,217,8,1.27
17,a,218,8,2.77
18,a,219,8,2.96
19,a,220,8,2.42
20,a,221,8,2.98
21,a,222,8,2.99
22,a,223,8,3.89
23,a,224,8,3.82
24,a,232,8,3
25,c,201,8,3.15
26,c,202,8,2.69
27,c,203,8,2.44
28,c,204,8,2.97
29,c,205,8,3.81
30,c,206,8,3.74
31,c,207,8,1.5
32,c,208,8,2.67
33,c,209,8,3.25
34,c,210,8,2.69
35,c,211,8,2.68
36,c,212,8,1.76
37,c,214,8,3.33
38,c,215,8,3.22
39,c,216,8,3.75
40,c,217,8,1.36
41,c,218,8,2.85
42,c,219,8,2.55
43,c,220,8,2.7
44,c,221,8,3.89
45,c,222,8,3.15
46,c,223,8,4.49
47,c,224,8,3.77
48,c,232,8,3.69
49,p,201,8,2.42
50,p,202,8,2.84
51,p,203,8,1.3
52,p,204,8,3.05
53,p,205,8,3.31
54,p,206,8,2.82
55,p,207,8,1.94
56,p,208,8,1.71
57,p,209,8,3.13
58,p,210,8,2.61
59,p,211,8,3.06
60,p,212,8,1.76
61,p,214,8,2.73
62,p,215,8,3.14
63,p,216,8,3.35
64,p,217,8,1.16
65,p,218,8,2.75
66,p,219,8,2.66
67,p,220,8,2.8
68,p,221,8,3.61
69,p,222,8,2.89
70,p,223,8,3.75
71,p,224,8,3.74
72,p,232,8,2.76
