date,fertilizer,rep,N2O
2014-10-15,slurry,1,0.011577819
2014-10-15,slurry,2,0.033055577
2014-10-15,slurry,3,1.64167e-10
2014-10-15,slurry,4,0.004522464
2014-10-15,mineral,1,0.023052479
2014-10-15,mineral,2,0.018039453
2014-10-15,mineral,3,0.023439819
2014-10-15,mineral,4,0.008249748
2014-10-15,solid,1,0.013277732
2014-10-15,solid,2,0.050845263
2014-10-15,solid,3,0.006591388
2014-10-15,solid,4,0.003534418
2014-10-16,slurry,1,0.095006507
2014-10-16,slurry,2,0.040143132
2014-10-16,slurry,3,0.009639332
2014-10-16,slurry,4,0.002951968
2014-10-16,mineral,1,0.018092283
2014-10-16,mineral,2,0.012719882
2014-10-16,mineral,3,0.06418385
2014-10-16,mineral,4,0.028595154
2014-10-16,solid,1,0.015291949
2014-10-16,solid,2,0.040706612
2014-10-16,solid,3,0.01070689
2014-10-16,solid,4,0.004325846
2014-10-19,slurry,1,0.002316545
2014-10-19,slurry,2,7.0348e-11
2014-10-19,slurry,3,0.008234915
2014-10-19,slurry,4,0.004551505
2014-10-19,mineral,1,0.002354919
2014-10-19,mineral,2,8.75175e-11
2014-10-19,mineral,3,0.030321688
2014-10-19,mineral,4,0.065017345
2014-10-19,solid,1,0.010862994
2014-10-19,solid,2,0.031448923
2014-10-19,solid,3,0.00465427
2014-10-19,solid,4,0.004484433
2014-10-28,slurry,1,0.022519318
2014-10-28,slurry,2,0.015704917
2014-10-28,slurry,3,0.084966359
2014-10-28,slurry,4,0.050602379
2014-10-28,mineral,1,0.008498494
2014-10-28,mineral,2,0.003295249
2014-10-28,mineral,3,0
2014-10-28,mineral,4,0.064740699
2014-10-28,solid,1,0.00585641
2014-10-28,solid,2,0.015101686
2014-10-28,solid,3,0.005523251
2014-10-28,solid,4,0.002670204
2014-11-04,slurry,1,0.032012328
2014-11-04,slurry,2,0.010889928
2014-11-04,slurry,3,1.55418e-10
2014-11-04,slurry,4,1.49244e-10
2014-11-04,mineral,1,0.013144585
2014-11-04,mineral,2,0.005960189
2014-11-04,mineral,3,0.0040883
2014-11-04,mineral,4,0.002501652
2014-11-04,solid,1,0.011452551
2014-11-04,solid,2,0.0131694
2014-11-04,solid,3,0.006685863
2014-11-04,solid,4,0.00410654
2014-11-18,slurry,1,0.036591222
2014-11-18,slurry,2,0.004583976
2014-11-18,slurry,3,0.015048299
2014-11-18,slurry,4,0.009852109
2014-11-18,mineral,1,0
2014-11-18,mineral,2,1.83218e-10
2014-11-18,mineral,3,0.016245762
2014-11-18,mineral,4,3.37895e-11
2014-11-18,solid,1,0.010045018
2014-11-18,solid,2,0.004262715
2014-11-18,solid,3,0.004170851
2014-11-18,solid,4,0.008984911
2014-11-25,slurry,1,9.61477e-11
2014-11-25,slurry,2,1.5612e-11
2014-11-25,slurry,3,0.150958805
2014-11-25,slurry,4,0.133533886
2014-11-25,mineral,1,1.54681e-11
2014-11-25,mineral,2,3.82599e-11
2014-11-25,mineral,3,3.84619e-11
2014-11-25,mineral,4,7.09663e-11
2014-11-25,solid,1,5.62263e-11
2014-11-25,solid,2,2.46281e-10
2014-11-25,solid,3,1.22874e-10
2014-11-25,solid,4,5.28574e-11
2014-12-11,slurry,1,0.043974913
2014-12-11,slurry,2,2.57472e-11
2014-12-11,slurry,3,2.25884e-11
2014-12-11,slurry,4,1.50319e-11
2014-12-11,mineral,1,2.09162e-10
2014-12-11,mineral,2,0
2014-12-11,mineral,3,8.45286e-11
2014-12-11,mineral,4,0
2014-12-11,solid,1,5.49617e-11
2014-12-11,solid,2,2.03979e-10
2014-12-11,solid,3,5.49243e-11
2014-12-11,solid,4,7.28012e-12
2014-12-23,slurry,1,1.83116e-10
2014-12-23,slurry,2,0
2014-12-23,slurry,3,8.70281e-12
2014-12-23,slurry,4,3.5544e-11
2014-12-23,mineral,1,2.10615e-10
2014-12-23,mineral,2,1.25664e-11
2014-12-23,mineral,3,8.38252e-12
2014-12-23,mineral,4,2.45796e-11
2014-12-23,solid,1,3.57485e-11
2014-12-23,solid,2,1.95824e-12
2014-12-23,solid,3,3.94021e-11
2014-12-23,solid,4,7.08543e-11
2015-01-07,slurry,1,0
2015-01-07,slurry,2,2.66899e-11
2015-01-07,slurry,3,0.004821019
2015-01-07,slurry,4,0.004524523
2015-01-07,mineral,1,4.62989e-11
2015-01-07,mineral,2,5.78026e-11
2015-01-07,mineral,3,7.4051e-11
2015-01-07,mineral,4,1.33527e-11
2015-01-07,solid,1,0.004440993
2015-01-07,solid,2,0.003463805
2015-01-07,solid,3,7.32809e-11
2015-01-07,solid,4,8.27887e-11
2015-01-28,slurry,1,2.16522e-10
2015-01-28,slurry,2,2.09275e-10
2015-01-28,slurry,3,4.61408e-11
2015-01-28,slurry,4,1.56506e-11
2015-01-28,mineral,1,1.30702e-11
2015-01-28,mineral,2,0
2015-01-28,mineral,3,3.17899e-11
2015-01-28,mineral,4,1.6621e-11
2015-01-28,solid,1,0.011628585
2015-01-28,solid,2,0.010560457
2015-01-28,solid,3,3.08721e-11
2015-01-28,solid,4,4.2762e-11
2015-02-10,slurry,1,1.2966e-10
2015-02-10,slurry,2,1.22509e-10
2015-02-10,slurry,3,2.29954e-11
2015-02-10,slurry,4,7.8851e-12
2015-02-10,mineral,1,0
2015-02-10,mineral,2,0
2015-02-10,mineral,3,2.64942e-11
2015-02-10,mineral,4,1.61944e-11
2015-02-10,solid,1,3.1207e-11
2015-02-10,solid,2,2.37525e-11
2015-02-10,solid,3,0
2015-02-10,solid,4,7.78716e-12
2015-03-04,slurry,1,1.47254e-10
2015-03-04,slurry,2,2.03052e-10
2015-03-04,slurry,3,0
2015-03-04,slurry,4,3.85575e-11
2015-03-04,mineral,1,1.52118e-10
2015-03-04,mineral,2,0.018633122
2015-03-04,mineral,3,1.26121e-10
2015-03-04,mineral,4,0.016262502
2015-03-04,solid,1,1.32546e-10
2015-03-04,solid,2,4.53509e-11
2015-03-04,solid,3,3.4448e-11
2015-03-04,solid,4,2.31015e-11
2015-03-05,slurry,1,3.29024e-10
2015-03-05,slurry,2,2.56553e-10
2015-03-05,slurry,3,2.23175e-11
2015-03-05,slurry,4,1.20491e-11
2015-03-05,mineral,1,0.032208269
2015-03-05,mineral,2,0.078198452
2015-03-05,mineral,3,0.027339683
2015-03-05,mineral,4,0.065234172
2015-03-05,solid,1,1.15388e-11
2015-03-05,solid,2,5.19984e-11
2015-03-05,solid,3,3.59383e-12
2015-03-05,solid,4,4.04849e-11
2015-03-06,slurry,1,3.37976e-10
2015-03-06,slurry,2,2.68327e-10
2015-03-06,slurry,3,1.35054e-11
2015-03-06,slurry,4,4.90634e-11
2015-03-06,mineral,1,0.264497413
2015-03-06,mineral,2,0.278453235
2015-03-06,mineral,3,0.282128554
2015-03-06,mineral,4,0.193679445
2015-03-06,solid,1,2.28778e-11
2015-03-06,solid,2,6.07589e-11
2015-03-06,solid,3,1.06614e-11
2015-03-06,solid,4,1.94694e-11
2015-03-10,slurry,1,1.92149e-10
2015-03-10,slurry,2,1.63783e-10
2015-03-10,slurry,3,1.08375e-10
2015-03-10,slurry,4,1.32099e-10
2015-03-10,mineral,1,0.028791494
2015-03-10,mineral,2,1.87786e-10
2015-03-10,mineral,3,0.018415726
2015-03-10,mineral,4,0.015344255
2015-03-10,solid,1,3.71992e-11
2015-03-10,solid,2,5.48048e-11
2015-03-10,solid,3,2.36667e-11
2015-03-10,solid,4,1.09172e-05
2015-03-20,slurry,1,3.55003e-12
2015-03-20,slurry,2,7.66711e-12
2015-03-20,slurry,3,1.06891e-11
2015-03-20,slurry,4,1.37981e-11
2015-03-20,mineral,1,0.015147604
2015-03-20,mineral,2,7.56255e-11
2015-03-20,mineral,3,5.52e-11
2015-03-20,mineral,4,5.03958e-11
2015-03-20,solid,1,0
2015-03-20,solid,2,1.88797e-11
2015-03-20,solid,3,3.92857e-12
2015-03-20,solid,4,1.18159e-12
2015-04-07,slurry,1,0.011893568
2015-04-07,slurry,2,0.003874913
2015-04-07,slurry,3,1.4701e-10
2015-04-07,slurry,4,0.005617245
2015-04-07,mineral,1,0.021824862
2015-04-07,mineral,2,0.023841925
2015-04-07,mineral,3,0.015180912
2015-04-07,mineral,4,1.53262e-10
2015-04-07,solid,1,0.042254074
2015-04-07,solid,2,0.000606101
2015-04-07,solid,3,0.011546029
2015-04-07,solid,4,0.026661002
2015-04-21,slurry,1,0
2015-04-21,slurry,2,2.22786e-10
2015-04-21,slurry,3,1.66409e-11
2015-04-21,slurry,4,7.3057e-11
2015-04-21,mineral,1,2.79627e-11
2015-04-21,mineral,2,1.45582e-11
2015-04-21,mineral,3,4.52656e-11
2015-04-21,mineral,4,0
2015-04-21,solid,1,8.32489e-11
2015-04-21,solid,2,1.12025e-10
2015-04-21,solid,3,1.04854e-10
2015-04-21,solid,4,6.7373e-11
2015-05-05,slurry,1,8.38535e-11
2015-05-05,slurry,2,9.08209e-11
2015-05-05,slurry,3,8.06063e-11
2015-05-05,slurry,4,6.09072e-11
2015-05-05,mineral,1,2.11326e-10
2015-05-05,mineral,2,0.004357802
2015-05-05,mineral,3,6.98212e-11
2015-05-05,mineral,4,0
2015-05-05,solid,1,7.66341e-11
2015-05-05,solid,2,9.07881e-11
2015-05-05,solid,3,4.74232e-11
2015-05-05,solid,4,5.64115e-11
2015-06-05,slurry,1,0.064151264
2015-06-05,slurry,2,0.076335934
2015-06-05,slurry,3,0.055385596
2015-06-05,slurry,4,0.051250005
2015-06-05,mineral,1,0.015980673
2015-06-05,mineral,2,0.0025464
2015-06-05,mineral,3,0.02303331
2015-06-05,mineral,4,0.016478649
2015-06-05,solid,1,0.084862567
2015-06-05,solid,2,0.061941723
2015-06-05,solid,3,0.037189044
2015-06-05,solid,4,0.032331949
2015-06-06,slurry,1,0.750312491
2015-06-06,slurry,2,0.406654743
2015-06-06,slurry,3,0.052642408
2015-06-06,slurry,4,0.191402275
2015-06-06,mineral,1,0.075281668
2015-06-06,mineral,2,0.031895659
2015-06-06,mineral,3,0.048984148
2015-06-06,mineral,4,0.0191594
2015-06-06,solid,1,0.532563467
2015-06-06,solid,2,0.385829003
2015-06-06,solid,3,0.062496364
2015-06-06,solid,4,0.14388502
2015-06-09,slurry,1,0.246935206
2015-06-09,slurry,2,0.59057711
2015-06-09,slurry,3,0.070483183
2015-06-09,slurry,4,0.07641287
2015-06-09,mineral,1,0.142628078
2015-06-09,mineral,2,0.0737672
2015-06-09,mineral,3,0.198694512
2015-06-09,mineral,4,0.134620433
2015-06-09,solid,1,0.016335821
2015-06-09,solid,2,0.044273012
2015-06-09,solid,3,0.003907448
2015-06-09,solid,4,0.035938948
2015-06-16,slurry,1,0.08020398
2015-06-16,slurry,2,0.292238086
2015-06-16,slurry,3,0.120445104
2015-06-16,slurry,4,0.034115755
2015-06-16,mineral,1,0.045445018
2015-06-16,mineral,2,0.028957763
2015-06-16,mineral,3,0.091049194
2015-06-16,mineral,4,0.085019684
2015-06-16,solid,1,0.006393868
2015-06-16,solid,2,0.00856446
2015-06-16,solid,3,0.004033812
2015-06-16,solid,4,0.011159298
2015-07-08,slurry,1,0.012016863
2015-07-08,slurry,2,0.03687473
2015-07-08,slurry,3,0.043862536
2015-07-08,slurry,4,0.029886924
2015-07-08,mineral,1,0.021252027
2015-07-08,mineral,2,0.012541012
2015-07-08,mineral,3,0.025713707
2015-07-08,mineral,4,0.026537801
2015-07-08,solid,1,0.006548352
2015-07-08,solid,2,0.002396086
2015-07-08,solid,3,1.28627e-10
2015-07-08,solid,4,0.007580169
2015-07-27,slurry,1,0.041002168
2015-07-27,slurry,2,0.022722901
2015-07-27,slurry,3,0.006296783
2015-07-27,slurry,4,0.003047173
2015-07-27,mineral,1,0.006617052
2015-07-27,mineral,2,8.87353e-11
2015-07-27,mineral,3,0.005707027
2015-07-27,mineral,4,0.004065245
2015-07-27,solid,1,0.004354177
2015-07-27,solid,2,0.007380479
2015-07-27,solid,3,0.004973017
2015-07-27,solid,4,0.003612668
2015-08-13,slurry,1,4.73972e-11
2015-08-13,slurry,2,9.29534e-11
2015-08-13,slurry,3,0.007649299
2015-08-13,slurry,4,0.004988144
2015-08-13,mineral,1,0.007326083
2015-08-13,mineral,2,0.002755137
2015-08-13,mineral,3,0.005050503
2015-08-13,mineral,4,0.005009061
2015-08-13,solid,1,0.007277918
2015-08-13,solid,2,0.016764644
2015-08-13,solid,3,0.007253793
2015-08-13,solid,4,0.007153098
2015-08-27,slurry,1,7.94124e-11
2015-08-27,slurry,2,7.66849e-11
2015-08-27,slurry,3,1.0982e-10
2015-08-27,slurry,4,8.68146e-11
2015-08-27,mineral,1,0.004022435
2015-08-27,mineral,2,0.002436421
2015-08-27,mineral,3,0.005046868
2015-08-27,mineral,4,0.002002403
2015-08-27,solid,1,0.007645255
2015-08-27,solid,2,0.005591185
2015-08-27,solid,3,0.000881685
2015-08-27,solid,4,7.72593e-11
